agentType,id,name,image
person,phill-coxon,Phill Coxon,https://lh4.googleusercontent.com/-sbXdtdJVuTY/UwKytJCw6KI/AAAAAAAAAE8/cDvuH3uEStM/s498-no/IMG_0114.JPG
person,reaksmey,Reaksmey Chea,https://lh4.googleusercontent.com/-sbXdtdJVuTY/UwKytJCw6KI/AAAAAAAAAE8/cDvuH3uEStM/s498-no/IMG_0114.JPG
person,rebeka,Rebeka,https://secure.gravatar.com/avatar/4f3d55c2cfc8d738fe3bb5b55c09d12d.png?d=none&r=pg&s=170
person,riccardo-tacconi,Riccardo Tacconi,https://avatars2.githubusercontent.com/u/82217?v=3&s=460
person,richard-bartlett,Dick Bartlett,https://secure.gravatar.com/avatar/d5039eb7649c89379ed0715e41a68310.png?d=none&r=pg&s=512
person,rithy,Rithy,https://secure.gravatar.com/avatar/4f3d55c2cfc8d738fe3bb5b55c09d12d.png?d=none&r=pg&s=170
person,rob-guthrie,Rob Guthrie,https://www.loomio.org/assets/people/rob-f876c436322be6a84b17abf80872e68b.jpg
person,rob-ramsay,Rob Ramsay,http://www.rabid.co.nz/assets/profiles/rob-sq-905a27971311a49ff1cb7817fe1243db.jpg
person,rochelle-furneaux,Rochelle Furneaux,https://loomio-attachments.s3.amazonaws.com/users/uploaded_avatars/000/000/080/large/2012-03-26_22.58.25.jpg?1417033509
person,rohan-wakefield,Rohan Wakefield,http://devacademy.co.nz/wp-content/uploads/2014/07/Rohan_Wakefield.jpg
person,rose-lu,Rose Lu,https://loomio-attachments.s3.amazonaws.com/users/uploaded_avatars/000/005/506/large/rose.jpg?1417556673
person,rowan-brooks,Rowan Brooks,
person,ryan-mearns,Ryan Mearns,https://d3n8a8pro7vhmx.cloudfront.net/actionstation/pages/104/attachments/original/1418589420/ryan.jpg?1418589420
person,sam-parkin,Sam Parkin,https://secure.gravatar.com/avatar/beab112fb9bfe5ce100e37fbb1d7c89e.png?d=none&r=pg&s=170
person,sam-rye,Sam Rye,http://static2.stuff.co.nz/1352053939/736/7906736.jpg
person,samnang,Samnang,https://secure.gravatar.com/avatar/863e24c91fcf1cd3c879ea62a401365e.png?d=none&r=pg&s=200
person,samson-ootoovak,Samson Ootoovak,https://secure.gravatar.com/avatar/638d7e4bb8d455e8149b2f46355c0973.png?d=none&r=pg&s=170
person,sandra-clark,Sandra Clark,http://www.rabid.co.nz/assets/profiles/sandra-sq-b002f08a7f3fcf87869193102b1c60e3.jpg
person,sea-rotman,Sea Rotman,http://www.eceee.org/all-news/columnists/sea-rotmann/square_photo
person,seb-paquet,Seb Paquet,https://loomio-attachments.s3.amazonaws.com/users/uploaded_avatars/000/056/077/large/photo_%283%29.jpg?1426715631
person,silvia-zuur,Silvia Zuur,http://www.buckybox.com/images/team-silvia-13b913f3.jpg
person,simon,Simon Tegg,https://avatars0.githubusercontent.com/u/1574732?v=2&s=460
person,stephanie,Stephanie Noirpoudre,https://trello-avatars.s3.amazonaws.com/7eb4f53599c96d2ae86d901eb9e7bdc9/170.png
person,thomas-mitchell,Thomas Mitchell,http://www.thomasmitchell.co.nz/assets/photo.jpg
person,thomas,Thomas,https://loomio-attachments.s3.amazonaws.com/users/uploaded_avatars/000/006/347/large/1391568_10201894748628703_266872761_n.jpg?1383903958
person,tracey,Tracey Ambrose,https://loomio-attachments.s3.amazonaws.com/users/uploaded_avatars/000/002/249/large/208497_10150167121387617_677007616_6980518_4853552_n.jpg?1359511960
person,trudy-lane,Trudy Lane,https://loomio-attachments.s3.amazonaws.com/users/uploaded_avatars/000/002/249/large/208497_10150167121387617_677007616_6980518_4853552_n.jpg?1359511960
person,viv-maidaborn,Viv,https://secure.gravatar.com/avatar/2e1a65be5c5afea18cdca64f9b5e5ea0.png?d=none&r=pg&s=170
person,vivienne-askey,Vivienne Askey,https://s3-us-west-2.amazonaws.com/slack-files2/avatars/2015-05-19/4965630241_aa3bd7f418d20487248e_192.jpg
person,will-lau,Will Lau,http://www.buckybox.com/images/team-will-683106f2.jpg
person,yasmine,Yasmine,https://secure.gravatar.com/avatar/a4f4b24f727137f9a8b7654d45a72012.png?d=none&r=pg&s=170
person,wiremu,Wiremu,https://loomio-attachments.s3.amazonaws.com/users/uploaded_avatars/000/006/452/large/edward-snowden-stylized.png?1411340195
